0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,0,0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,0,0
3,3,3,67,67,67,67,67,67,67,67,67,67,67,67,67,0,0,0
3,3,3,3,3,67,67,67,67,67,67,67,67,67,67,67,0,0,0
3,3,3,3,3,5,67,67,67,67,67,67,67,67,67,5,0,0,0
67,67,67,3,3,5,67,67,67,67,67,67,67,67,5,5,0,0,0
67,67,67,67,5,5,67,67,67,67,67,67,67,5,5,5,0,0,0
67,67,67,67,5,5,5,5,5,5,5,5,5,5,3,67,0,0,0
67,67,67,67,67,5,5,5,5,5,5,5,5,5,67,67,0,0,0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,0,0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,0,0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,0,0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,0,0
